year,salary
1990,1.065464
1989,0.4885756
1990,0.7817708
1989,0.2982608
1990,0.4551838
1989,0.8150479
1990,0.8974339
1989,0.2132376
1990,0.2988267
1989,0.3703536
1990,0.4499195
1989,0.5839708
1990,0.6538213
1989,1.07001
1990,1.085154
1989,0.9921209
1990,1.098403
1989,0.7698697
1990,0.8360596
1989,0.7981176
1990,0.8570262
1989,1.069652
1990,1.166826
1989,1.028076
1990,1.0926
1989,0.6840953
1990,0.6882488
1989,0.4932767
1990,0.6278782
1989,1.143382
1990,1.142554
1989,1.12235
1990,1.11117
1989,1.154972
1990,1.166408
1989,1.029145
1990,1.146023
1989,0.8485183
1990,0.9025587
1989,0.5256518
1990,0.2486915
1989,0.60208
1990,0.7221736
1989,0.6751516
1990,0.6640253
1989,0.9291726
1990,1.039916
1989,0.775022
1990,-0.2718935
1989,0.4354229
1990,0.4276435
1989,0.7708623
1990,0.7226127
1989,1.16493
1990,0.8747315
1989,0.3695705
1990,0.4300312
1989,0.2782383
1990,0.1931
1989,1.073269
1990,1.207705
1989,0.739357
1990,0.8327805
1989,0.9318578
1990,0.9490612
1989,0.8939908
1990,0.7810351
1989,0.789359
1990,0.8792638
1989,0.6157626
1990,0.5804617
1989,1.066577
1990,1.061388
1989,0.2720769
1990,0.4147501
1989,0.8394374
1990,0.9456558
1989,0.7625567
1990,0.8789433
1989,1.225579
1990,1.377529
1989,0.5088097
1990,0.5368587
1989,1.155145
1990,1.117291
1989,0.5010285
1990,0.5836269
1989,0.9988467
1990,0.961424
1989,0.8538769
1990,0.9613469
1989,0.7779228
1990,0.6786022
1989,0.9369022
1990,1.044356
1989,1.026233
1990,1.074919
1989,0.9321076
1990,0.9702105
1989,0.8329494
1990,0.9896948
1989,0.6359189
1990,0.6392002
1989,1.084446
1990,1.181021
1989,0.6567016
1990,0.6526226
1989,1.264999
1990,1.286502
1989,1.333057
1990,1.342313
1989,0.7408493
1990,0.9070253
1989,0.8475019
1990,0.8635057
1989,0.4468263
1990,0.3770892
1989,1.092895
1990,1.062513
1989,0.8191669
1990,0.9770874
1989,0.1359136
1990,0.3266883
1989,0.6809835
1990,0.9164191
1989,0.7408707
1990,0.7420049
1989,1.309351
1990,1.231991
1989,0.6650494
1990,0.6239114
1989,0.5962922
1990,0.5597728
1989,0.2053603
1990,0.5580623
1989,-0.153756
1990,0.2838289
1989,0.91372
1990,1.071333
1989,0.6692902
1990,0.8550684
1989,0.5693321
1990,0.6365333
1989,0.3112878
1990,0.3149509
1989,0.9013376
1990,1.016096
1989,0.3682559
1990,0.6756924
1989,0.6643181
1990,0.7196963
1989,0.754719
1990,0.7640345
1989,0.8420426
1990,0.8267187
1989,0.1514108
1990,0.1836658
1989,1.073302
1990,1.164822
1989,1.069979
1990,1.122838
1989,1.072975
1990,1.088609
1989,0.9805115
1990,1.109922
1989,0.5498652
1990,0.9248034
1989,0.9931934
1990,1.087158
1989,0.6484544
1990,0.5862247
1989,0.635967
1990,0.8484311
1989,0.4342771
1990,0.5170386
1989,0.7494626
1990,0.9496033
1989,1.19823
1990,1.155981
1989,1.027442
1990,1.138225
1989,1.115503
1990,0.9465271
1989,0.4049405
1990,0.4449045
1989,0.4599103
1990,0.5876047
1989,0.468196
1990,0.7696559
1989,0.6970799
1990,0.7969781
1989,0.2143742
1990,0.271396
1989,0.8715274
1990,0.9880161
1989,0.9544147
1990,0.9999787
1989,0.4083282
1990,0.473619
1989,0.8864607
1990,0.8947694
1989,0.5846555
1990,0.6733212
1989,0.3298011
1990,0.4691477
1989,0.8354055
1990,0.9482679
1989,0.8311867
1990,0.8131171
1989,0.9971036
1990,1.051985
1989,0.809485
1990,1.011028
1989,0.5623956
1990,0.5574081
1989,0.8221622
1990,0.8185714
1989,0.2926075
1990,0.2278705
1989,0.7009413
1990,0.9748597
1989,1.015258
1990,1.192278
1989,1.241139
1990,1.287767
1989,0.59899
1990,0.6308613
1989,0.4399341
1990,0.3596511
1989,0.3737451
1990,0.5516655
1989,0.2922764
1990,0.3928683
1989,1.172092
1990,1.332973
1989,0.1789286
1990,0.1755555
1989,0.4072065
1990,0.4721228
1989,0.5288802
1990,0.5083103
1989,0.6296425
1990,0.852014
1989,0.8700986
1990,0.8736979
1989,0.6953859
1990,0.7962171
1989,1.035779
1990,1.05539
1989,0.612022
1990,0.6821073
1989,0.6276745
1990,0.7535459
1989,0.6647827
1990,0.5359772
1989,0.8433238
1990,0.8360783
1989,0.5518574
1990,0.572036
1989,-0.043721
1990,-0.0259586
1989,0.4415262
1990,0.5269573
1989,1.204547
1990,1.354471
1989,0.6622984
1990,0.6134896
1989,0.6572109
1990,0.7374119
1989,0.3296749
1990,0.432556
1989,1.085912
1990,1.163401
1989,0.655631
1990,0.7924286
1989,0.5895476
1990,0.7942677
1989,1.064841
1990,1.228631
1989,0.2647395
1990,0.4729437
1989,0.5736603
1990,0.7109152
1989,0.7210486
1990,0.6949999
1989,0.955804
1990,0.9375631
1989,0.6648268
1990,0.8169281
1989,0.3926076
1990,0.4550177
1989,0.5015819
1990,0.4974653
1989,0.5427109
1990,0.5717766
1989,0.8766935
1990,0.9904849
1989,0.853143
1990,0.6641484
1989,0.9709292
1990,1.151525
1989,0.6400603
1990,0.5509979
1989,0.8581322
1990,0.923844
1989,0.6965117
1990,0.9091853
1989,1.047679
1990,1.090722
1989,0.8470628
1990,0.897967
1989,0.5880319
1990,0.6276686
1989,0.6199561
1990,0.804573
1989,0.5141275
1990,0.5300813
1989,-0.056786
1990,0.0515996
1989,0.3784989
1990,0.3322393
1989,0.5655987
1990,0.7794121
1989,1.093577
1990,1.164545
1989,0.8079388
1990,0.1174724
1989,0.8229229
1990,0.8399948
1989,0.5003456
1990,0.6031524
1989,0.5347589
1990,0.6502098
1989,0.7311017
1990,0.9237844
1989,0.2413251
1990,0.3407529
1989,0.6192503
1990,0.6980801
1989,1.24369
1990,1.33767
1989,0.1284557
1990,0.229688
1989,0.6147559
1990,0.8096711
1989,1.015569
1990,1.072614
1989,0.2886251
1990,0.5512416
1989,0.7955748
1990,0.8335552
1989,0.5965736
1990,0.7298183
1989,0.1039304
1990,0.1777947
1989,0.026791
1990,0.0391995
1989,0.2923054
1990,0.251149
1989,0.4101956
1990,0.4761875
1989,0.326945
1990,0.3392644
1989,0.0313082
1990,0.2099106
1989,-0.2757878
1990,-0.2416225
1989,0.4515579
1990,0.5906968
1989,-0.133326
1990,-0.1708652
1989,0.2711581
1990,0.3452951
1989,-0.326515
1990,-0.2036426
1989,0.1551503
1990,0.1778956
1989,0.4796516
1990,0.6144096
1989,0.5468749
1990,0.6834699
1989,0.0696485
1990,0.050299
1989,0.7719405
1990,1.008572
1989,0.6652199
1990,0.8084978
1989,0.3236088
1990,0.3846779
1989,0.7424677
1990,0.8365231
1989,0.5929862
1990,0.6096678
1989,0.9634082
1990,0.9684731
1989,0.4595004
1990,0.5409434
1989,0.7030494
1990,0.8669116
1989,0.0737878
1990,-0.1181465
1989,0.0247309
1990,0.087239
1989,0.7441173
1990,0.742948
1989,0.5516254
1990,0.6742423
1989,0.475362
1990,0.4853803
1989,0.5103075
1990,0.6530035
1989,1.079977
1990,1.029111
1989,0.5429845
1990,0.21703
1989,0.6916169
1990,0.7450011
1989,1.283474
1990,1.131378
1989,1.039187
1990,1.122096
1989,0.7541293
1990,0.7976481
1989,1.042113
1990,0.8474303
1989,0.9775051
1990,1.04322
1989,0.7551978
1990,0.888879
1989,1.230234
1990,1.333131
1989,0.8618211
1990,0.9055558
1989,1.094723
1990,1.121619
1989,1.059212
1990,1.171288
1989,0.6002524
1990,0.7786459
1989,0.5462539
1990,0.6418803
1989,0.880344
1990,0.8191836
1989,0.5323623
1990,0.5944399
1989,0.3852294
1990,0.3932161
1989,0.5070055
1990,0.6124693
1989,0.6591204
1990,0.7465526
1989,0.7015128
1990,0.8393664
1989,0.3708749
1990,0.4044555
1989,0.325114
1990,0.387996
1989,0.6991945
1990,0.9865829
1989,0.4668041
1990,0.5898603
1989,0.5249276
1990,0.4858877
1989,0.4368638
1990,0.3896536
1989,0.1116054
1990,0.175834
1989,1.128078
1990,1.109776
1989,0.9438899
1990,0.9157177
1989,0.8612513
1990,0.928855
1989,0.9632826
1990,1.082337
1989,0.9366696
1990,1.041275
1989,0.5799874
1990,0.3443882
1989,0.4346592
1990,0.4499714
1989,0.9068941
1990,1.015575
1989,0.8831788
1990,0.9641895
1989,1.051162
1990,0.8717144
1989,0.7499499
1990,1.086115
1989,1.193736
1990,1.345959
1989,0.9571948
1990,0.9909664
1989,1.123168
1990,1.179802
1989,0.950873
1990,0.8613953
1989,0.7503746
1990,0.802451
1989,0.4647893
1990,0.5662537
1989,0.7934206
1990,1.148015
1989,0.8496158
1990,1.044462
1989,1.247384
1990,1.037423
1989,1.177406
1990,1.236476
1989,1.065801
1990,1.082551
1989,0.9011841
1990,1.106877
1989,0.6921247
1990,0.8220406
1989,1.032901
1990,1.09052
1989,1.099372
1990,1.110156
1989,1.052776
1990,1.042798
1989,0.734548
1990,0.7789883
1989,1.252382
1990,1.351292
1989,0.5259202
1990,0.5799543
1989,0.6958881
1990,0.8921667
1989,0.8246112
1990,0.8591021
1989,1.190828
1990,1.235294
1989,0.9306926
1990,0.9261215
1989,0.5556498
1990,0.670121
1989,1.136906
1990,1.224435
1989,1.081893
1990,1.119183
1989,1.231058
1990,1.31445
1989,0.6566543
1990,0.7823001
1989,0.3922622
1990,0.8107956
1989,0.7951285
1990,0.8610778
1989,1.052712
1990,1.048776
1989,0.5655975
1990,0.796577
1989,0.8924773
1990,1.176625
1989,0.5359278
1990,0.6623432
1989,0.8330285
1990,0.8840628
1989,1.313582
1990,1.351947
1989,1.087415
1990,1.125395
1989,1.038721
1990,0.9735862
1989,1.06904
1990,1.163191
1989,0.312954
1990,0.3852249
1989,0.665732
1990,0.5989328
1989,0.9129776
1990,1.168301
1989,0.7637672
1990,0.8144249
1989,0.9984203
1990,1.046562
1989,0.8920135
1990,0.9905155
1989,0.5250205
1990,0.6316726
1989,1.08093
1990,0.9631565
1989,1.021848
1990,1.134698
1989,0.0864613
1990,0.1428918
1989,1.097962
1990,1.166211
1989,0.5848607
1990,0.715589
1989,0.8432585
1990,0.9221516
1989,0.9188405
1990,1.025355
1989,1.030177
1990,1.07618
1989,0.6378243
1990,0.7052456
1989,0.6175392
1990,0.6696978
1989,1.077129
1990,1.129978
1989,0.7174296
1990,1.14567
1989,0.7508405
1990,0.7890328
1989,0.5555582
1990,0.5745281
1989,0.7129734
1990,0.7502875
1989,0.8284878
1990,0.9293672
1989,0.9680974
1990,1.030215
1989,1.101501
1990,1.212531
1989,1.24503
1990,1.281537
1989,0.9841936
1990,0.9824889
1989,0.8064289
1990,0.6764697
1989,-0.0025341
1990,0.1479961
1989,1.009491
1990,1.073666
1989,1.022645
1990,1.15175
1989,0.3988152
1990,0.6570849
1989,1.212873
1990,1.203241
1989,0.9114069
1990,0.85141
1989,0.0825304
1990,0.0877863
1989,0.79861
1990,0.7966651
1989,0.9349957
1990,1.055795
1989,0.8897732
1990,0.9438206
1989,1.252908
1990,1.192907
1989,0.8319597
1990,0.8603094
1989,0.9559949
1990,1.143384
1989,0.8181981
1990,0.9984241
1989,1.185441
1990,1.291636
1989,0.2149859
1990,0.2232892
1989,0.5281014
1990,0.5123862
1989,0.5960259
1990,0.7038685
1989,0.7859254
1990,0.5215273
1989,0.7058308
1990,0.7094586
1989,0.561434
1990,0.4778374
1989,0.2607855
1990,0.3164771
1989,0.4071992
1990,0.5211399
1989,0.8526861
1990,0.7824756
1989,0.3612394
1990,0.4384202
1989,0.4680405
1990,0.78148
1989,-0.2914427
1990,-0.0404725
1989,0.4535021
1990,0.5610951
1989,0.5453145
1990,0.6559976
1989,0.9293988
1990,0.9031751
1989,0.2571513
1990,0.2108081
1989,0.1771137
1990,0.3195459
1989,0.4607655
1990,0.5307279
1989,0.3921971
1990,0.3659606
1989,0.7412115
1990,1.023771
1989,0.290576
1990,0.3673477
1989,0.5092709
1990,0.6109228
1989,0.8923045
1990,1.026852
1989,0.1710406
1990,0.3601037
1989,0.8071756
1990,0.7683918
1989,0.9846098
1990,1.032861
1989,0.1073296
1990,0.1894473
1989,0.5130097
1990,0.6965423
1989,1.015869
1990,1.167794
1989,0.5546327
1990,0.65637
1989,0.7083896
1990,0.7711327
1989,0.680967
1990,0.6040335
1989,0.7188163
1990,0.7667379
1989,0.8969821
1990,0.935902
1989,0.6049128
1990,0.6473362
1989,0.9484513
1990,0.9869391
1989,0.718816
1990,0.7492967
1989,0.5633169
1990,0.6060732
1989,0.6648452
1990,0.7563877
1989,0.6393321
1990,0.660863
1989,0.6324871
1990,0.5653526
1989,0.4522566
1990,0.5302778
1989,0.7863109
1990,0.9589992
1989,1.192531
1990,1.230621
1989,0.9005267
1990,0.8972403
1989,1.070158
1990,0.9158791
1989,1.230088
1990,1.23276
1989,-0.0171579
1990,0.1755771
1989,0.6306335
1990,0.6447461
1989,0.6349259
1990,0.4300289
1989,0.6303592
1990,0.6486337
1989,0.5732844
1990,0.7157487
1989,0.5809432
1990,0.7993423
1989,1.094651
1990,1.029572
1989,0.933826
1990,0.8859245
1989,0.7246862
1990,0.7866763
1989,0.1141156
1990,0.2120721
1989,1.058089
1990,1.264827
1989,0.2758237
1990,0.2486957
1989,0.3230553
1990,0.5454337
1989,0.7513723
1990,0.8879382
1989,0.7442905
1990,0.8521321
1989,0.9157421
1990,0.9517421
1989,0.6412041
1990,0.5907062
1989,-0.04559
1990,0.1287387
1989,0.3079665
1990,0.456305
1989,0.9422405
1990,0.9396652
1989,0.5692315
1990,0.6733938
1989,0.8775645
1990,0.7582089
1989,0.8360817
1990,0.9989339
1989,0.4664417
1990,0.5319698
1989,0.1973961
1990,0.236262
1989,0.4270981
1990,0.5836321
1989,0.9226251
1990,1.175133
1989,0.6721056
1990,0.6930163
1989,0.7405125
1990,0.8286172
1989,0.967118
1990,1.063802
1989,0.3111968
1990,0.2870949
1989,0.5864013
1990,0.5980539
1989,0.5793433
1990,0.7638305
1989,0.9939485
1990,1.033617
1989,0.3807447
1990,0.4509776
1989,0.5579032
1990,0.5844103
1989,0.7237285
1990,0.7431977
1989,1.052286
1990,1.181208
1989,0.3242074
1990,0.2963458
1989,0.5005695
1990,0.4504591
1989,0.6597256
1990,0.65439
1989,0.7755842
1990,0.8559235
1989,0.5416102
1990,0.7235372
1989,0.5232613
1990,0.5507994
1989,1.184553
1990,1.323608
1989,0.8080502
1990,0.8975661
1989,0.9382179
1990,1.034486
1989,0.6474206
1990,0.6917109
1989,0.5539717
1990,0.8907621
1989,0.6292301
1990,0.7343627
1989,0.5412145
1990,0.6285424
1989,0.4139959
1990,0.4784996
1989,0.2851256
1990,0.4451605
1989,0.706784
1990,0.9702597
1989,0.6083418
1990,0.7210146
1989,0.4191226
1990,0.4357062
1989,0.4040316
1990,0.5470544
1989,0.523266
1990,0.6338406
1989,0.369495
1990,0.3672383
1989,0.5728763
1990,0.7434347
1989,0.1401272
1990,-0.0329512
1989,0.5936931
1990,0.4366757
1989,0.171656
1990,0.2358102
1989,0.6257767
1990,0.7225514
1989,0.0796864
1990,0.0116749
1989,0.063957
1990,0.3399893
1989,0.1862978
1990,0.4249924
1989,0.4517387
1990,0.494489
1989,0.7267512
1990,0.7205196
1989,1.199088
1990,1.323508
1989,0.9777242
1990,1.198053
1989,1.067356
1990,1.339351
1989,0.9365955
1990,0.9530793
1989,0.6454329
1990,0.6745725
1989,0.5869789
1990,0.6802051
1989,0.9035512
1990,0.9136798
1989,0.9433827
1990,0.9285808
1989,0.7823296
1990,0.8555415
1989,1.16196
1990,1.120045
1989,0.8620146
1990,0.9288467
1989,0.759553
1990,0.8101977
1989,0.6569723
1990,0.6541074
1989,0.6015445
1990,0.6956984
1989,0.783853
1990,0.7969094
1989,0.527231
1990,0.539437
1989,0.9540729
1990,0.678206
1989,0.7244389
1990,0.7255138
1989,0.4362008
1990,0.807986
1989,0.6788269
1990,0.7382721
1989,0.2389974
1990,0.501372
1989,0.3077726
1990,0.2286558
1989,0.5443597
1990,0.5677276
1989,0.6197726
1990,0.5997966
1989,0.3685609
1990,0.3870032
1989,0.4174359
1990,0.2763673
1989,0.113957
1990,0.1555397
1989,0.5028592
1990,0.4290643
1989,0.355025
1990,0.4243506
1989,0.0098904
1990,0.1448695
1989,0.4012298
1990,0.4354941
1989,0.8765948
1990,0.8907955
1989,0.5242637
1990,0.7911644
1989,0.5741846
1990,0.7812359
1989,0.6878724
1990,0.6517644
1989,0.6650856
1990,0.6676393
1989,0.7826838
1990,0.908393
1989,0.5590808
1990,0.6636186
1989,0.8515199
1990,0.9060928
1989,0.2975882
1990,0.3232173
1989,0.6277979
1990,0.7142791
1989,1.130349
1990,1.137155
1989,0.7059768
1990,0.8473797
1989,0.1018667
1990,0.0749463
1989,0.6339563
1990,0.7504064
1989,0.6291072
1990,0.7246736
1989,0.5971907
1990,0.6129348
1989,0.1267193
1990,0.4538791
1989,0.4375042
1990,0.285306
1989,0.3878483
1990,0.4093358
1989,0.3500468
1990,0.3734963
1989,0.0285713
1990,0.0355353
1989,0.5205614
1990,0.6067571
1989,1.146884
1990,1.169481
1989,0.3433597
1990,0.4820417
1989,0.6920897
1990,0.7779981
1989,0.6672978
1990,0.5617421
1989,0.944768
1990,0.8920763
1989,0.6843159
1990,0.7683268
1989,0.8772714
1990,1.30645
1989,-0.1060115
1990,-0.0205966
1989,0.4905285
1990,0.5662654
1989,0.3434885
1990,0.3688615
1989,0.3974986
1990,0.8175799
1989,0.6271771
1990,0.6950961
1989,0.7352331
1990,0.9519489
1989,0.8015469
1990,0.8092439
1989,0.7341493
1990,0.6305576
1989,0.2843567
1990,0.4675306
1989,0.5581282
1990,0.5908965
1989,0.2395976
1990,0.3915564
1989,0.7068756
1990,1.004607
1989,0.7636345
1990,0.7312816
1989,0.6195288
1990,0.8294033
1989,0.6153812
1990,0.816162
1989,0.5123528
1990,0.5912182
1989,0.4994298
1990,0.7223951
1989,1.104844
1990,0.8649804
1989,0.8419271
1990,0.8892717
1989,0.3848315
1990,0.4416517
1989,0.4742902
1990,0.5257201
1989,0.4136523
1990,0.4527358
1989,1.044465
1990,1.299815
1989,0.5272377
1990,0.6909086
1989,0.3256222
1990,0.5912116
1989,0.8620963
1990,0.8610889
1989,0.6910075
1990,0.6768383
1989,0.4372661
1990,0.5287133
1989,0.346343
1990,0.291465
1989,0.1429377
1990,0.2469689
1989,1.039677
1990,1.118739
1989,0.7360895
1990,0.7820481
1989,0.9642666
1990,1.056781
1989,0.4730583
1990,0.4754914
1989,0.8264818
1990,0.9746753
1989,0.5406576
1990,1.135575
1989,0.6218734
1990,0.8143392
1989,0.5794492
1990,0.8234614
1989,0.422461
1990,0.5328571
1989,0.4998556
1990,0.521982
1989,0.6360381
1990,0.6830277
1989,0.4765277
1990,0.5982516
1989,0.1426479
1990,0.1163988
1989,0.8399449
1990,0.7675528
1989,0.7204744
1990,0.7408179
1989,0.6304751
1990,0.7771275
1989,0.7602386
1990,0.8984666
1989,0.5352515
1990,0.7445762
1989,0.7810568
1990,0.8032748
1989,0.5469214
1990,0.6111324
1989,0.2411005
1990,-0.0199238
1989,0.3470372
1990,0.6550024
1989,0.4628057
1990,0.5780361
1989,0.2295241
1990,0.3150449
1989,-0.1486528
1990,-0.2616026
1989,0.1396418
1990,0.2556342
1989,0.2203796
1990,0.2368572
1989,0.0508041
1990,0.187723
1989,0.8596416
1990,0.8610361
1989,0.6407897
1990,0.7472685
1989,0.6934704
1990,0.4637169
1989,0.5174008
1990,0.5946198
1989,0.9343101
1990,0.833333
1989,0.7090787
1990,0.8364958
1989,0.3778532
1990,0.6025727
1989,0.541796
1990,0.7201335
1989,0.4759332
1990,0.4838104
1989,0.3057715
1990,0.4344961
1989,0.4534284
1990,0.5185807
1989,-0.0246027
1990,0.00805
1989,0.0862226
1990,0.2358316
1989,0.4369836
1990,0.5465733
1989,-0.0182736
1990,0.0402586
1989,0.9784843
1990,1.066389
1989,0.629097
1990,0.6809953
1989,0.6056062
1990,0.4878982
1989,0.6386089
1990,0.9332153
1989,0.9164264
1990,0.9285761
1989,0.5147147
1990,0.4754972
1989,0.5309105
1990,0.5084682
1989,0.9762362
1990,1.086818
1989,0.909984
1990,1.051792
1989,0.8144011
1990,0.8520193
1989,0.6442009
1990,0.5780361
1989,1.368655
1990,1.251246
1989,0.6330733
1990,0.7188132
1989,0.6122016
1990,0.6471822
1989,0.4691988
1990,0.4484373
1989,0.8266463
1990,0.8026542
1989,0.825214
1990,0.9109662
1989,0.7365382
1990,0.9966597
1989,1.348939
1990,1.262338
1989,0.2099162
1990,0.3714763
1989,0.2396101
1990,0.3897165
1989,0.908042
1990,0.5606523
1989,0.2209614
1990,0.3119235
1989,0.4867588
1990,0.6984345
1989,0.5838052
1990,0.8472467
1989,0.4735768
1990,0.4851015
1989,1.021229
1990,1.075597
1989,0.0506154
1990,0.0941405
1989,0.4562487
1990,0.7798123
1989,0.4028379
1990,0.5167781
1989,1.241115
1990,1.253154
1989,0.3595825
1990,0.1862584
1989,1.026651
1990,1.011216
1989,0.1029798
1990,0.3273714
1989,0.7032684
1990,0.7141501
1989,0.8565059
1990,1.028237
1989,0.4496703
1990,0.5737424
1989,0.7488069
1990,0.750314
1989,0.1591076
1990,0.2832343
1989,0.6717139
1990,0.6991126
1989,0.6044765
1990,0.6255521
1989,0.1591036
1990,0.3636603
1989,0.4832512
1990,0.5698333
1989,0.3896565
1990,0.4430358
1989,0.5784051
1990,0.6347177
1989,0.8859574
1990,0.9446662
1989,0.5009859
1990,0.5910956
1989,0.9870104
1990,1.281994
1989,0.8634566
1990,0.8862361
1989,0.7234175
1990,0.8058674
1989,0.6832206
1990,0.7095647
1989,0.8375487
1990,0.8130772
1989,0.7767884
1990,1.036422
1989,0.3854921
1990,0.5012251
1989,0.0922215
1990,0.2263123
1989,0.3341087
1990,0.2977319
1989,0.6241232
1990,0.7643488
1989,0.6271194
1990,0.6699556
1989,0.8140599
1990,0.9048421
1989,0.6661744
1990,0.7065353
1989,0.8706347
1990,0.7693793
1989,0.2876987
1990,0.4172718
1989,-0.1188012
1990,-0.0444703
1989,0.75049
1990,0.8327544
1989,0.8632787
1990,0.9830411
1989,0.9448159
1990,0.9767888
1989,0.9666173
1990,1.065958
1989,0.7795866
1990,0.9363344
1989,1.052401
1990,1.140116
1989,0.6493751
1990,0.7354941
1989,0.6486056
1990,0.7702532
1989,0.5503663
1990,0.6832063
1989,0.8300177
1990,0.9367848
1989,-0.0093049
1990,0.1553279
1989,0.8296359
1990,0.7163168
