"price","lotSize","age","landValue","livingArea","pctCollege","bedrooms","fireplaces","bathrooms","rooms","heating","fuel","sewer","waterfront","newConstruction","centralAir"
157000,0.46,45,20200,1390,71,3,1,1.5,6,"hot air","gas","septic","No","No","No"
195000,0.41,32,27100,1954,71,4,0,2.5,8,"hot air","gas","septic","No","No","Yes"
150000,0.78,54,24500,1554,71,3,1,1.5,5,"hot air","oil","septic","No","No","Yes"
234900,0.89,9,41600,1976,64,3,0,2.5,6,"hot air","gas","public/commercial","No","No","Yes"
279550,1.34,0,44400,2479,71,4,1,2.5,10,"hot air","gas","septic","No","No","No"
246500,1,0,17100,2714,71,4,1,2.5,9,"hot air","gas","none","No","No","No"
124000,1,98,15500,797,52,2,0,1,3,"hot air","oil","septic","No","No","No"
138000,0.27,54,8900,1500,71,3,0,2.5,7,"hot water/steam","gas","septic","No","No","No"
290000,0.71,73,61000,1838,71,4,0,2,8,"hot air","oil","septic","Yes","No","No"
108000,0.9,48,19000,1042,71,2,1,2,3,"hot air","gas","septic","No","No","No"
134900,0.24,10,8000,1782,52,3,0,2.5,6,"hot air","gas","public/commercial","No","No","Yes"
64500,0.06,16,1600,1480,52,2,1,2.5,5,"hot air","gas","public/commercial","No","No","No"
142000,0.55,20,13800,1426,52,3,1,2,6,"hot air","gas","septic","No","No","No"
125000,0.34,32,11100,1404,52,3,0,2,5,"hot air","gas","septic","No","No","No"
88000,0.19,15,3400,1480,52,3,1,1.5,5,"hot water/steam","gas","public/commercial","No","No","Yes"
135000,0.23,135,8100,1344,52,3,0,1,5,"hot water/steam","gas","public/commercial","No","No","No"
90000,0.07,14,1800,1480,52,2,1,2.5,5,"hot air","gas","public/commercial","No","No","Yes"
90100,0.09,15,2400,1480,52,3,1,1.5,7,"hot water/steam","gas","public/commercial","No","No","No"
126900,0.25,10,8400,1596,52,3,0,2.5,6,"hot air","gas","public/commercial","No","No","No"
175000,0.47,15,27200,1768,52,3,1,2,5,"electric","electric","septic","No","No","No"
158000,0.36,10,12100,1348,52,2,1,2,3,"hot air","gas","public/commercial","No","No","Yes"
92000,0.07,14,1800,1480,52,3,1,1.5,8,"hot air","gas","public/commercial","No","No","No"
82800,0.11,225,3900,1483,52,3,0,1,7,"hot air","gas","public/commercial","No","No","No"
140000,0.23,25,8300,1576,52,4,1,1.5,5,"hot air","gas","public/commercial","No","No","Yes"
171000,3.16,15,24100,1008,52,2,0,1,7,"electric","electric","septic","No","No","No"
200640,0.08,0,32000,2332,52,4,0,2.5,9,"hot air","gas","public/commercial","No","Yes","No"
139000,0.57,30,7500,1064,52,3,1,1,5,"hot air","oil","septic","No","No","No"
225000,0.5,12,15300,2428,52,4,1,2.5,11,"hot air","gas","public/commercial","No","No","Yes"
182000,1,16,26600,1310,52,3,1,2,7,"electric","electric","septic","No","No","No"
208767,0.5,0,32000,1662,52,3,0,2,7,"hot air","gas","public/commercial","No","Yes","Yes"
186000,0.55,0,4400,2000,52,4,0,2.5,7,"hot air","gas","public/commercial","No","Yes","No"
93000,0.1,14,2600,1480,52,3,1,1.5,6,"hot air","gas","public/commercial","No","No","No"
257386,0.5,0,32000,2969,52,4,1,4,10,"hot air","gas","public/commercial","No","Yes","Yes"
161000,0.31,10,10400,1542,52,3,0,2.5,5,"hot air","gas","public/commercial","No","No","Yes"
92000,0.28,18,6300,1527,52,4,0,2,7,"hot air","oil","septic","No","No","No"
211002,0.06,0,32000,2195,52,4,0,2.5,8,"hot air","gas","public/commercial","No","Yes","No"
115000,0.06,14,1600,1480,52,3,1,1.5,6,"hot air","gas","public/commercial","No","No","No"
113000,0.46,53,9200,1452,52,3,0,2,7,"hot water/steam","oil","septic","No","No","Yes"
216300,0.1,0,32000,2360,52,4,0,2.5,10,"hot air","gas","public/commercial","No","Yes","No"
145000,2.12,32,19000,1440,52,3,1,1,8,"hot air","oil","septic","No","No","No"
114000,0.06,14,1600,1480,52,2,1,2.5,5,"hot air","electric","public/commercial","No","No","No"
139050,0.21,125,7300,1879,52,3,0,2.5,6,"hot air","gas","public/commercial","No","No","No"
104000,0.06,14,1600,1480,52,3,0,1.5,6,"hot air","gas","public/commercial","No","No","No"
169900,0.26,11,8700,1792,52,3,0,2.5,8,"hot air","gas","public/commercial","No","No","No"
177900,0.29,2,25000,1386,44,3,0,2.5,5,"hot air","gas","septic","No","No","No"
133000,1.29,14,10300,1676,44,2,1,2,3,"hot air","electric","septic","No","No","Yes"
185000,1,0,4000,768,22,4,0,2,9,"hot air","gas","septic","No","No","No"
115000,0.88,16,10000,1560,22,3,1,1.5,8,"electric","electric","septic","No","No","Yes"
100000,0.52,91,5000,1000,22,3,0,1,6,"hot air","oil","septic","No","No","No"
117000,0.07,15,18900,1676,51,4,1,1.5,9,"electric","electric","septic","No","No","No"
150000,0.32,11,19400,1656,51,3,0,1.5,6,"electric","electric","none","No","No","No"
187500,0.92,11,20600,2300,51,3,1,1.5,7,"electric","electric","septic","No","No","No"
107000,0.46,25,18700,1712,51,3,1,1,6,"hot air","gas","septic","No","No","No"
126900,0.46,26,18700,1350,51,3,0,1.5,5,"hot air","gas","septic","No","No","No"
147000,0.11,15,18900,1676,51,3,1,2.5,6,"hot air","gas","septic","No","No","No"
62000,0.4,103,10500,1317,51,3,0,1.5,7,"hot water/steam","gas","septic","No","No","No"
101000,0.87,30,8700,1056,51,3,1,2,8,"hot air","gas","septic","No","No","No"
143500,0.59,13,19900,912,51,3,0,1,7,"hot air","gas","septic","No","No","No"
113400,0.93,18,4500,1232,44,2,0,2,3,"electric","electric","septic","No","No","No"
76320,0.15,68,2000,1380,44,3,1,1,5,"hot air","gas","public/commercial","No","No","No"
110000,0.59,10,3100,936,44,3,0,1,6,"hot air","gas","septic","No","No","Yes"
88000,0.33,49,3400,720,44,3,0,1,4,"hot air","gas","septic","No","No","No"
108000,0.32,30,6500,1628,44,2,1,1.5,4,"hot water/steam","oil","septic","No","No","No"
114900,0.46,41,5000,1144,44,3,0,1.5,6,"hot air","gas","septic","No","No","No"
146000,0.48,2,3000,1827,44,3,0,2.5,9,"hot air","gas","septic","No","No","No"
225000,2.37,8,3300,1784,44,3,1,2,6,"hot water/steam","oil","septic","No","No","No"
138000,0.83,16,3700,1851,44,3,1,2.5,8,"hot air","gas","septic","No","No","Yes"
218070,1,0,3500,2194,44,4,0,2.5,8,"hot water/steam","gas","septic","No","Yes","No"
25000,0.21,75,900,920,44,2,0,1,6,"hot air","oil","septic","No","No","No"
112000,0.27,36,3800,1280,44,3,0,1,5,"hot water/steam","gas","public/commercial","No","No","No"
112500,0.72,43,4600,1232,44,3,1,1,5,"electric","electric","septic","No","No","No"
97000,0.36,45,3600,1406,44,3,0,1.5,6,"hot water/steam","gas","septic","No","No","No"
121000,0.52,6,2500,1164,44,3,0,2,5,"hot air","gas","septic","No","No","No"
65720,0.19,123,2100,1198,44,3,0,1,5,"hot water/steam","gas","public/commercial","No","No","No"
225000,0.38,10,6600,2206,44,4,1,2.5,8,"hot air","gas","septic","No","No","Yes"
192000,0.82,0,5000,1880,44,3,1,2.5,9,"hot air","gas","septic","No","Yes","Yes"
158500,0.69,6,3400,1368,44,3,0,1.5,8,"hot air","oil","septic","No","No","No"
247000,0.51,16,6000,1901,44,3,1,2.5,5,"hot air","gas","septic","No","No","Yes"
193777,0.72,11,3200,1547,44,3,0,2,8,"hot air","gas","septic","No","No","No"
136500,0.62,12,5400,896,44,3,0,2,5,"hot air","gas","septic","No","No","No"
75000,1,45,8000,1008,44,3,0,1,7,"hot air","gas","septic","No","No","No"
45000,0.52,75,3900,912,44,2,0,1,4,"hot air","gas","septic","No","No","No"
243000,0.82,12,3700,2443,44,3,0,2.5,6,"hot air","gas","septic","No","No","No"
90000,0.29,83,3900,900,44,4,0,1,7,"hot air","gas","public/commercial","No","No","No"
158000,0.52,0,4400,2098,44,3,0,2,7,"hot air","gas","septic","No","Yes","Yes"
174000,0.64,9,3000,2115,44,4,1,2.5,7,"hot water/steam","gas","septic","No","No","No"
150000,0.52,12,4500,1344,44,2,1,2,7,"hot air","gas","septic","No","No","No"
159650,1,3,5200,1106,44,3,0,1,8,"hot air","gas","septic","No","No","No"
139062,0.69,33,6500,1440,44,3,2,2,6,"hot water/steam","gas","septic","No","No","No"
84950,0.13,0,15000,840,51,2,0,1,3,"hot air","gas","public/commercial","No","Yes","No"
102000,0.22,10,7300,1170,51,2,0,1,6,"hot air","gas","public/commercial","No","No","No"
175000,0.46,15,23400,1664,51,4,0,1,5,"hot air","oil","septic","No","No","No"
78500,1,153,27300,3024,51,4,0,1,12,"hot air","oil","septic","No","No","No"
232478,1,0,15900,2598,51,4,1,2.5,9,"hot air","gas","none","No","No","No"
93805,0.13,0,15000,840,51,2,0,1.5,7,"hot air","gas","public/commercial","No","Yes","No"
119900,1.03,63,41500,1701,41,5,0,1,10,"hot water/steam","oil","septic","No","No","No"
146000,1.17,33,41800,1456,41,3,1,1.5,6,"hot air","oil","septic","No","No","No"
125000,0.34,44,19000,1224,71,3,0,1,4,"hot air","oil","septic","No","No","No"
135000,0.38,48,21300,1411,71,3,1,1,5,"hot air","gas","septic","No","No","No"
157500,1.96,29,39700,1608,71,3,1,1.5,5,"hot air","oil","septic","No","No","No"
135000,3,178,44500,3020,41,4,0,2.5,12,"hot water/steam","oil","septic","No","No","No"
142900,0.33,32,22500,1898,64,3,1,1.5,7,"hot water/steam","gas","public/commercial","No","No","No"
259900,0.46,1,36600,2544,64,4,1,2.5,9,"hot air","gas","public/commercial","No","Yes","Yes"
85000,0.29,16,22100,1038,64,2,0,1,7,"electric","electric","public/commercial","No","No","No"
180377,0.35,1,37000,1820,64,3,1,2.5,6,"hot air","gas","public/commercial","No","Yes","No"
163500,0.28,21,28400,2202,64,3,1,2,10,"electric","electric","public/commercial","No","No","Yes"
106500,0.52,53,20300,2387,64,3,0,1,6,"hot air","oil","septic","No","No","No"
115000,0.11,16,20700,1368,64,2,1,1.5,3,"electric","electric","public/commercial","No","No","Yes"
115000,0.14,16,21000,1480,64,2,1,2,5,"electric","electric","public/commercial","No","No","Yes"
135000,0.14,15,19600,1348,64,2,1,1.5,5,"electric","electric","public/commercial","No","No","Yes"
198900,0.47,7,25500,1889,64,4,1,2.5,8,"hot air","gas","public/commercial","No","No","Yes"
139000,0.14,16,19600,1343,64,2,1,1.5,6,"electric","electric","public/commercial","No","No","Yes"
206000,0.51,15,39600,2011,64,3,1,2.5,7,"hot air","gas","public/commercial","No","No","Yes"
120000,0.21,15,28800,1180,64,2,1,1.5,3,"hot air","gas","public/commercial","No","No","Yes"
205980,0.14,1,45200,1983,64,3,1,2.5,5,"hot air","gas","public/commercial","No","Yes","Yes"
275000,0.55,14,72000,2253,64,3,1,2.5,7,"hot air","gas","public/commercial","No","No","Yes"
139000,0.07,12,24500,1604,64,2,0,1.5,4,"hot air","gas","public/commercial","No","No","Yes"
89900,0.49,83,11900,1196,45,3,0,1,6,"hot air","gas","septic","No","No","No"
139900,0.07,13,24500,1602,64,2,0,2.5,7,"hot air","gas","public/commercial","No","No","Yes"
172750,0.36,1,37100,1747,64,3,0,2.5,5,"hot air","gas","public/commercial","No","Yes","No"
136000,0.5,37,19800,1092,64,3,0,1,5,"hot water/steam","oil","septic","No","No","No"
270000,0.48,10,37800,2410,64,4,1,2.5,11,"hot air","gas","public/commercial","No","No","Yes"
174000,0.29,14,31100,1933,64,3,1,2.5,6,"hot air","gas","public/commercial","No","No","Yes"
379000,0.68,9,57200,3080,64,4,1,2.5,12,"hot air","gas","public/commercial","No","No","Yes"
382500,4.08,13,75500,4534,64,6,2,2.5,12,"hot air","oil","septic","No","No","Yes"
144900,0.1,14,26000,1677,64,3,1,2.5,5,"hot air","gas","public/commercial","No","No","Yes"
349900,0.62,7,57800,2900,64,4,1,2.5,11,"hot air","gas","public/commercial","No","No","Yes"
133000,0.07,16,20300,1392,64,2,1,1.5,5,"electric","electric","public/commercial","No","No","Yes"
115000,0.16,15,22400,1058,64,2,1,1.5,7,"hot air","gas","public/commercial","No","No","No"
211950,0.36,1,29200,2342,64,4,1,2.5,8,"hot air","gas","public/commercial","No","Yes","Yes"
227812,0.01,0,37200,2206,64,4,1,2.5,10,"hot air","gas","public/commercial","No","Yes","Yes"
164400,0.34,1,36200,1516,64,3,1,2,5,"hot air","gas","public/commercial","No","Yes","Yes"
340000,0.75,12,82500,2836,64,4,1,2.5,10,"hot air","gas","public/commercial","No","No","Yes"
139900,0.29,15,35200,1256,64,2,0,1.5,7,"hot air","gas","public/commercial","No","No","Yes"
279900,0.47,6,20000,2340,64,4,1,3.5,10,"hot air","gas","public/commercial","No","No","Yes"
225000,0.32,0,53900,2129,64,4,1,2.5,9,"hot air","gas","public/commercial","No","Yes","Yes"
144500,0.12,15,16800,1343,64,2,1,2.5,4,"hot air","gas","public/commercial","No","No","Yes"
362710,1,0,24300,2963,64,4,1,2.5,10,"hot air","gas","septic","No","Yes","Yes"
247000,0.46,13,36600,2114,64,4,1,3.5,8,"hot air","gas","public/commercial","No","No","Yes"
120000,0.18,16,21400,1144,64,2,1,1,7,"electric","electric","public/commercial","No","No","Yes"
136000,0.55,33,14900,988,64,3,1,1,7,"hot air","oil","septic","No","No","No"
228500,0.46,9,45800,1475,64,3,0,2,4,"hot air","gas","public/commercial","No","No","No"
162800,0.15,10,28500,1247,64,3,0,1.5,7,"hot air","gas","public/commercial","No","No","No"
230000,0.93,48,23500,1912,64,5,1,2,10,"hot water/steam","gas","septic","No","No","No"
115800,0.46,23,19700,1440,64,3,0,1.5,5,"hot air","oil","septic","No","No","No"
175000,0.26,16,30100,1596,64,3,1,2,6,"hot air","gas","public/commercial","No","No","Yes"
263008,0.63,0,24400,2665,64,4,1,2.5,11,"hot air","gas","public/commercial","No","Yes","Yes"
146000,0.5,35,28000,1984,64,3,0,1.5,8,"hot water/steam","gas","septic","No","No","No"
204900,0.03,10,35800,1616,64,3,0,2,6,"hot air","gas","public/commercial","No","No","Yes"
265000,0.17,9,40500,1917,64,3,1,2.5,5,"hot air","gas","public/commercial","No","No","No"
167500,0.64,37,16400,2592,64,3,1,1.5,9,"hot water/steam","oil","septic","No","No","No"
205000,0.47,6,25500,1845,64,3,1,2.5,9,"hot air","gas","public/commercial","No","No","No"
170000,0.92,53,29000,1360,57,4,0,1,9,"hot air","oil","septic","No","No","Yes"
176000,0.41,35,26200,1664,64,3,1,1.5,6,"hot air","gas","public/commercial","No","No","Yes"
132000,0.16,15,22400,1098,64,2,1,1.5,3,"hot air","gas","public/commercial","No","No","Yes"
115500,0.01,17,9900,1214,64,2,0,1.5,4,"electric","electric","public/commercial","No","No","No"
150000,0.29,93,9200,1046,57,3,0,1,6,"electric","electric","septic","No","No","No"
120000,0.36,103,32200,1144,64,3,0,1,8,"hot air","oil","septic","No","No","No"
125000,0.28,16,22000,1140,64,2,1,2,6,"hot air","gas","public/commercial","No","No","Yes"
150000,0.15,14,21000,1232,64,2,1,1.5,5,"hot air","gas","public/commercial","No","No","No"
362360,0.59,0,153800,3020,64,4,1,2.5,9,"hot air","gas","public/commercial","No","Yes","Yes"
133500,0.36,19,27000,1508,52,3,1,2,6,"hot air","gas","public/commercial","No","No","No"
91000,0.16,19,15700,912,52,2,1,1.5,5,"electric","electric","public/commercial","No","No","No"
104000,0.34,18,27000,1508,52,3,0,1.5,4,"electric","electric","public/commercial","No","No","No"
148000,0.33,17,27000,1561,52,3,1,1.5,6,"hot air","gas","public/commercial","No","No","No"
182000,0.56,30,26400,2625,64,4,1,2.5,8,"hot water/steam","gas","public/commercial","No","No","No"
152500,0.48,30,19600,936,52,3,1,1,7,"hot water/steam","gas","public/commercial","No","No","No"
97000,0.16,19,15700,912,52,2,0,1.5,3,"electric","electric","public/commercial","No","No","No"
113000,0.17,16,15100,1492,52,3,0,2.5,8,"electric","electric","public/commercial","No","No","No"
172000,0.46,30,26300,1599,64,4,1,2.5,5,"hot water/steam","gas","public/commercial","No","No","No"
179900,0.81,25,25000,2304,52,5,1,2.5,9,"electric","electric","septic","No","No","No"
84000,0.15,19,15700,912,52,2,0,1.5,7,"electric","electric","public/commercial","No","No","No"
117900,0.15,17,15100,1385,52,2,1,1.5,7,"hot air","gas","public/commercial","No","No","Yes"
177000,0.32,17,27000,1561,52,4,0,1.5,8,"electric","electric","public/commercial","No","No","No"
107500,0.16,20,15700,884,52,2,0,2,3,"hot water/steam","gas","public/commercial","No","No","No"
92500,0.15,18,15700,912,52,2,0,2,4,"electric","electric","public/commercial","No","No","No"
102900,0.15,17,15700,912,52,2,0,1.5,3,"electric","gas","public/commercial","No","No","No"
134800,0.48,73,20500,1384,52,3,0,2,5,"hot air","oil","septic","No","No","No"
150000,0.77,7,30000,1334,52,3,0,1.5,4,"hot air","gas","public/commercial","No","No","No"
165000,0.42,10,26200,1433,64,3,1,2,5,"hot air","gas","septic","No","No","Yes"
120000,0.17,16,15100,1492,52,3,1,2.5,6,"electric","electric","public/commercial","No","No","No"
177500,0.32,16,27000,1561,52,4,1,1.5,9,"hot air","gas","public/commercial","No","No","Yes"
300000,0.09,11,32000,936,52,1,0,1,3,"electric","electric","public/commercial","Yes","No","No"
123500,0.16,16,15100,1492,52,3,1,2.5,8,"electric","electric","public/commercial","No","No","No"
141000,0.16,18,15100,1853,52,3,0,2.5,7,"electric","electric","public/commercial","No","No","No"
105400,0.15,15,15100,1240,52,2,0,1.5,7,"electric","electric","public/commercial","No","No","No"
100600,0.17,19,15800,912,52,2,0,1.5,6,"electric","electric","public/commercial","No","No","No"
108900,0.17,19,15800,912,52,2,0,1.5,3,"hot air","gas","public/commercial","No","No","No"
105500,0.16,19,15700,912,52,2,0,1.5,6,"hot water/steam","gas","public/commercial","No","No","No"
109900,0.16,19,15100,1184,52,3,0,1.5,8,"hot water/steam","gas","public/commercial","No","No","No"
172700,0.34,18,27000,1638,52,3,1,2,6,"electric","electric","public/commercial","No","No","No"
166500,0.31,16,27000,1508,52,3,1,2,6,"electric","electric","public/commercial","No","No","No"
105000,0.4,50,18000,672,52,2,0,1,5,"electric","electric","public/commercial","No","No","No"
490000,0.34,18,79700,1346,52,3,1,2,6,"hot air","oil","public/commercial","Yes","No","No"
120000,0.16,18,15100,1184,52,3,0,2,5,"electric","electric","public/commercial","No","No","No"
107500,0.15,16,15700,912,52,2,0,1.5,4,"hot air","gas","public/commercial","No","No","No"
116600,0.15,18,15700,912,52,2,1,1.5,5,"electric","electric","public/commercial","No","No","No"
65000,0.16,19,15700,988,52,2,0,2,4,"hot air","gas","public/commercial","No","No","No"
118000,0.16,19,15100,1184,52,3,0,2,6,"hot air","gas","public/commercial","No","No","No"
115900,0.15,16,15100,1385,52,2,0,1.5,4,"electric","electric","public/commercial","No","No","No"
100000,0.15,18,15700,912,52,2,0,1.5,3,"hot water/steam","gas","public/commercial","No","No","No"
171000,0.37,18,27000,1548,52,3,1,2,5,"hot air","gas","public/commercial","No","No","Yes"
188000,0.31,17,27000,1561,52,4,0,1.5,9,"electric","electric","public/commercial","No","No","No"
140000,1,24,21000,1008,52,2,0,1,3,"hot air","gas","septic","No","No","Yes"
124500,0.15,17,15200,1385,52,2,0,1.5,4,"electric","electric","public/commercial","No","No","No"
107200,0.16,19,15700,908,52,2,0,1,6,"hot air","gas","public/commercial","No","No","No"
107500,0.24,138,1400,2246,39,4,0,1.5,9,"hot water/steam","oil","public/commercial","No","No","No"
180000,2.06,16,5900,1820,39,3,1,2.5,5,"hot air","gas","septic","No","No","No"
214325,0.42,0,13000,2554,64,4,1,2.5,9,"hot air","gas","public/commercial","No","Yes","Yes"
128850,0.92,16,5500,824,45,3,0,1.5,5,"electric","electric","septic","No","No","No"
208700,0.4,0,15000,2458,64,4,1,2.5,9,"hot air","gas","public/commercial","No","No","No"
139900,0.36,22,10500,1324,64,3,0,1,4,"electric","electric","public/commercial","No","No","No"
350000,5.84,12,20000,2916,64,3,1,2.5,9,"hot air","gas","public/commercial","No","No","Yes"
108000,0.16,19,15100,1032,52,2,0,1.5,4,"electric","electric","public/commercial","No","No","No"
115500,0.15,16,15700,912,52,2,1,1.5,4,"electric","electric","public/commercial","No","No","No"
135000,0.98,35,19600,1320,52,2,0,1,3,"electric","electric","septic","No","No","No"
135000,0.33,17,27000,1508,52,3,1,1.5,8,"hot air","gas","public/commercial","No","No","No"
107400,0.16,16,15700,912,52,2,1,1.5,7,"electric","electric","public/commercial","No","No","No"
233000,0.09,12,31200,2040,52,4,1,2.5,7,"hot air","gas","septic","No","No","Yes"
105000,0.16,17,15700,912,52,2,1,1.5,5,"electric","electric","public/commercial","No","No","No"
335000,3,10,53600,1776,52,2,0,2,6,"hot air","oil","public/commercial","No","No","Yes"
139000,0.58,25,25000,1304,64,3,0,2,8,"electric","electric","public/commercial","No","No","No"
209500,0.42,10,26200,1836,64,4,1,2.5,8,"hot air","gas","septic","No","No","Yes"
101000,0.17,18,15800,912,52,2,0,2,3,"electric","electric","public/commercial","No","No","No"
77500,0.16,19,15700,912,52,2,0,1.5,6,"electric","electric","public/commercial","No","No","No"
150500,0.31,16,27000,1527,52,2,1,2,7,"electric","electric","public/commercial","No","No","No"
167000,0.99,17,5700,1454,39,3,0,1.5,7,"electric","electric","septic","No","No","No"
114000,0.26,26,4600,1700,39,3,1,1.5,4,"hot water/steam","oil","public/commercial","No","No","No"
160000,0.45,27,7000,1680,45,4,0,1,9,"electric","electric","public/commercial","No","No","No"
85000,0.49,0,13000,2401,64,4,1,2.5,10,"hot air","gas","public/commercial","No","No","Yes"
143000,0.35,21,11000,1176,64,3,0,1,7,"electric","electric","public/commercial","No","No","No"
126000,0.4,24,9800,1344,64,3,1,1.5,7,"electric","electric","public/commercial","No","No","No"
140000,0.48,23,10400,1344,64,3,0,1.5,8,"electric","electric","public/commercial","No","No","No"
140000,0.35,9,13000,1714,64,3,0,2.5,8,"hot water/steam","gas","septic","No","No","No"
205000,0.25,20,29000,1992,64,4,1,3,9,"hot air","gas","public/commercial","No","No","No"
79900,0.12,19,18200,924,64,2,0,1,7,"hot air","gas","public/commercial","No","No","Yes"
139000,0.09,24,17600,1290,64,2,1,1.5,3,"hot air","gas","public/commercial","No","No","Yes"
190000,0.46,36,27400,2521,64,4,1,2.5,10,"hot water/steam","gas","public/commercial","No","No","No"
151500,0.71,58,22700,1377,82,3,1,1.5,7,"hot water/steam","oil","public/commercial","No","No","No"
97500,0.06,19,16400,1237,64,2,1,1.5,6,"hot air","gas","public/commercial","No","No","Yes"
194500,0.61,41,32300,2310,64,4,1,2.5,7,"hot water/steam","gas","public/commercial","No","No","Yes"
195160,0.32,0,35000,1863,64,3,1,2.5,9,"hot air","gas","public/commercial","No","No","No"
152500,0.37,26,37500,1693,64,3,1,1.5,8,"hot air","gas","public/commercial","No","No","Yes"
159500,0.29,26,31400,1684,64,3,1,2.5,4,"hot air","gas","public/commercial","No","No","Yes"
185000,0.95,16,40900,1585,64,3,1,1.5,4,"electric","electric","public/commercial","No","No","Yes"
240000,0.67,8,72400,2290,64,4,1,3,9,"hot air","gas","public/commercial","No","No","Yes"
187900,0.4,32,30000,2464,64,5,1,2.5,9,"hot air","gas","public/commercial","No","No","Yes"
262000,0.29,5,29000,2549,64,4,1,2.5,12,"hot air","gas","public/commercial","No","No","Yes"
212500,0.35,6,36500,2316,64,4,1,2.5,7,"hot air","gas","public/commercial","No","No","Yes"
220000,0.37,18,43000,2600,64,4,1,2.5,8,"hot air","gas","septic","No","No","Yes"
245000,0.53,15,65800,2677,64,4,1,2.5,10,"hot air","gas","public/commercial","No","No","Yes"
120000,0.06,19,16400,1479,64,3,0,1.5,4,"electric","electric","public/commercial","No","No","Yes"
102500,0.15,16,18500,1138,64,2,0,1,7,"electric","electric","public/commercial","No","No","Yes"
136000,0.27,24,18900,1576,64,3,0,2.5,4,"hot water/steam","gas","public/commercial","No","No","No"
212500,0.43,10,52200,2084,82,4,1,2.5,9,"hot air","gas","public/commercial","No","No","Yes"
205900,0.06,26,35900,1726,64,3,1,2,8,"hot air","gas","public/commercial","No","No","Yes"
